source,target
110309 Infectious Diseases,30209
"""170101 Biological Psychology (Neuropsychology, Psychopharmacology, Physiological Psychology)""",106
"""medical imaging, medical data, tumor segmentation, SAW, SAW-S, semantic segmentation""",30203
40104 Climate Change Processes,10501
Climate change processes,10501
40105 Climatology (excl. Climate Change Processes),10501
49999 Earth Sciences not elsewhere classified,10599
60102 Bioinformatics,10610
60408 Genomics,10609
Atmospheric Sciences,10508
Biochemistry,10602
Biochemistry and cell biology not elsewhere classified,10602
Bioinformatic methods development,10203
Bioinformatics and computational biology not elsewhere classified,10203
Biophysics,10603
Brick masonry,20103
Cancer cell biology,30203
Cancer diagnosis,30203
Cancer genetics,30203
Cancer,30203
Cell Biology,10604
Climate Science,10501
Computational  Biology,10203
Computational Biology,10203
80303 Computer System Security,10201
Ecology,10611
Ecology not elsewhere classified,10611
Evolutionary Biology,10615
FOS: History and archaeology,601
FOS: Sociology,504
Genomics and transcriptomics,10609
Genomics,10609
Hälsa,303
Microbiology not elsewhere classified,10606
Molecular Biology,30108
Neuroscience and Physiological Psychology,30105
Physical Geography,10507
household energy,20304
machine learning,10201
ship lane,20105
Other health sciences not elsewhere classified,30399
library and information studies,50805
Migration,50904
Immunology,10605
Neuroscience,30105
111706 Epidemiology,30302
Health,303
Oncology and carcinogenesis not elsewhere classified,30203
Pharmaceutical sciences,30101
Structural biology (incl. macromolecular modelling),10601
50104 Landscape Ecology,10611
E-commerce,502
Other engineering and technologies,2
Microbe,10606
multilingual NLP,10208
Language Technology (Computational Linguistics),10208
Archaeology,60103
History and archaeology,601
Climatology / Meteorology / Atmosphere,10508
